"_id","close","closeTime","high","low","open","quoteAssetVolume","takerBuyBaseVolume","takerBuyQuoteVolume","trades","updatedAtLocal","volume"
"1751436000000","107014.38000000","1751439599999","107014.39000000","106633.83000000","106638.83000000","65377258.40949860","304.51865000","32548779.02122530","69147","2025-07-20T14:15:43.357Z","611.77648000"
"1751439600000","107080.00000000","1751443199999","107186.78000000","106852.83000000","107014.39000000","59629849.09758310","224.02903000","23971957.97190200","55929","2025-07-20T14:15:43.357Z","557.31452000"
"1751443200000","107728.99000000","1751446799999","107745.00000000","107080.00000000","107080.00000000","86321818.93328920","446.12612000","47963719.94689940","103085","2025-07-20T14:15:43.357Z","802.78861000"
"1751446800000","107636.16000000","1751450399999","107799.99000000","107506.52000000","107729.00000000","41819777.60253530","150.84719000","16242239.73335950","62186","2025-07-20T14:15:43.357Z","388.44355000"
"1751450400000","107848.95000000","1751453999999","107860.23000000","107612.67000000","107636.15000000","47669480.71028730","222.60322000","23993485.69167430","28340","2025-07-20T14:15:43.357Z","442.39670000"
"1751454000000","107479.99000000","1751457599999","107848.96000000","107338.15000000","107848.95000000","55337431.61416900","164.85340000","17745206.58663000","57860","2025-07-20T14:15:43.357Z","514.05194000"
"1751457600000","107379.92000000","1751461199999","107479.99000000","107186.10000000","107479.98000000","39912771.41375350","152.15460000","16330706.88966520","72797","2025-07-20T14:15:43.357Z","371.85695000"
"1751461200000","107768.20000000","1751464799999","107998.00000000","107280.00000000","107379.92000000","63241369.85976860","288.94713000","31101042.10584400","160849","2025-07-20T14:15:43.357Z","587.51111000"
"1751464800000","108139.99000000","1751468399999","108171.80000000","107659.35000000","107768.21000000","101147117.39868720","510.81103000","55138778.92480960","164199","2025-07-20T14:15:43.357Z","937.16142000"
"1751468400000","108737.74000000","1751471999999","108759.20000000","108120.00000000","108140.00000000","144251976.81320220","807.68680000","87574811.36788950","169949","2025-07-20T14:15:43.357Z","1330.61173000"
"1751472000000","109413.02000000","1751475599999","109646.45000000","108650.97000000","108737.75000000","294534085.35727380","1589.66668000","173682233.25209840","337674","2025-07-20T14:15:43.357Z","2695.11586000"
"1751475600000","109129.67000000","1751479199999","109730.00000000","108834.30000000","109413.01000000","122183280.04291840","507.15208000","55448656.36474310","197130","2025-07-20T14:15:43.357Z","1117.75624000"
"1751479200000","109538.88000000","1751482799999","109538.89000000","108989.90000000","109129.68000000","57142551.41824330","293.35364000","32062232.75573170","118599","2025-07-20T14:15:43.357Z","522.88486000"
"1751482800000","109676.14000000","1751486399999","109681.81000000","109293.90000000","109538.88000000","144542115.44755310","1067.59082000","116874532.29733910","144322","2025-07-20T14:15:43.357Z","1320.35211000"
"1751486400000","109136.30000000","1751489999999","109676.14000000","109128.72000000","109676.14000000","62881663.41706900","201.64699000","22045172.33516900","89766","2025-07-20T14:15:43.357Z","575.18566000"
